product_id,warehouse_balance
1,102
2,435
3,860
4,270
5,106
6,71
7,700
8,20
9,614
10,121
11,466
12,214
13,330
14,458
15,87
16,372
17,99
18,871
19,663
20,130
21,661
22,308
23,769
24,343
25,491
26,413
27,805
28,385
29,191
30,955
31,276
32,160
33,459
34,313
35,21
36,252
37,747
38,856
39,560
40,474
41,58
42,510
43,681
44,475
45,699
46,975
47,782
48,189
49,957
50,686
51,957
52,562
53,875
54,566
55,243
56,831
57,504
58,130
59,484
60,818
61,646
62,20
63,840
64,166
65,273
66,387
67,600
68,315
69,13
70,241
71,776
72,345
73,564
74,897
75,339
76,91
77,366
78,955
79,454
80,427
81,508
82,775
83,942
84,34
85,205
86,80
87,931
88,561
89,871
90,387
91,1
92,389
93,565
94,105
95,771
96,821
97,476
98,702
99,401
100,729
101,555
102,161
103,201
104,957
105,995
106,269
107,862
108,815
109,270
110,455
111,461
112,726
113,251
114,701
115,295
116,724
117,719
118,748
119,337
120,878
121,52
122,791
123,921
124,216
125,763
126,187
127,379
128,492
129,40
130,156
131,14
132,812
133,64
134,856
135,838
136,520
137,343
138,128
139,647
140,471
141,62
142,138
143,498
144,592
145,391
146,674
147,418
148,288
149,378
150,772
151,489
152,230
153,40
154,27
155,134
156,200
157,839
158,779
159,929
160,32
161,47
162,502
163,406
164,573
165,727
166,804
167,98
168,683
169,871
170,725
171,986
172,546
173,960
174,738
175,612
176,942
177,461
178,642
179,768
180,4
181,217
182,502
183,766
184,397
185,870
186,794
187,392
188,206
189,14
190,857
191,553
192,891
193,460
194,690
195,574
196,863
197,742
198,240
199,563
200,95
201,899
202,733
203,484
204,406
205,230
206,748
207,654
208,170
209,540
210,35
211,524
212,159
213,838
214,698
215,242
216,85
217,795
218,577
219,681
220,556
221,573
222,952
223,645
224,795
225,27
226,619
227,555
228,339
229,797
230,957
231,330
232,639
233,505
234,347
235,472
236,230
237,189
238,224
239,384
240,376
241,282
242,957
243,632
244,627
245,972
246,744
247,258
248,358
249,709
250,455
251,410
252,648
253,317
254,676
255,224
256,818
257,233
258,683
259,663
260,974
261,826
262,373
263,671
264,607
265,471
266,232
267,691
268,112
269,829
270,496
271,441
272,563
273,267
274,509
275,806
276,385
277,386
278,112
279,612
280,624
281,951
282,80
283,698
284,112
285,1
286,641
287,219
288,565
289,854
290,996
291,735
292,224
293,384
294,402
295,637
296,129
297,52
298,683
299,729
300,671
301,709
